date,emp_thousands
1990-01-01,695.2
1990-02-01,700.1
1990-03-01,701.0
1990-04-01,700.3
1990-05-01,699.8
1990-06-01,699.7
1990-07-01,696.0
1990-08-01,693.7
1990-09-01,695.2
1990-10-01,690.9
1990-11-01,690.6
1990-12-01,689.6
1991-01-01,689.3
1991-02-01,687.1
1991-03-01,685.2
1991-04-01,684.7
1991-05-01,684.6
1991-06-01,683.1
1991-07-01,686.4
1991-08-01,687.2
1991-09-01,687.7
1991-10-01,686.0
1991-11-01,684.7
1991-12-01,684.9
1992-01-01,688.1
1992-02-01,688.9
1992-03-01,690.9
1992-04-01,692.1
1992-05-01,693.7
1992-06-01,694.3
1992-07-01,697.4
1992-08-01,699.8
1992-09-01,700.2
1992-10-01,705.6
1992-11-01,707.9
1992-12-01,709.7
1993-01-01,711.0
1993-02-01,713.6
1993-03-01,714.9
1993-04-01,718.5
1993-05-01,721.3
1993-06-01,725.3
1993-07-01,726.9
1993-08-01,729.3
1993-09-01,730.6
1993-10-01,737.5
1993-11-01,742.6
1993-12-01,746.1
1994-01-01,747.0
1994-02-01,748.0
1994-03-01,751.2
1994-04-01,752.9
1994-05-01,751.7
1994-06-01,756.1
1994-07-01,763.4
1994-08-01,764.8
1994-09-01,766.7
1994-10-01,765.7
1994-11-01,769.4
1994-12-01,772.7
1995-01-01,779.0
1995-02-01,778.3
1995-03-01,779.6
1995-04-01,782.4
1995-05-01,786.2
1995-06-01,787.9
1995-07-01,786.9
1995-08-01,787.2
1995-09-01,789.5
1995-10-01,791.4
1995-11-01,793.5
1995-12-01,795.3
1996-01-01,797.6
1996-02-01,801.8
1996-03-01,804.1
1996-04-01,805.6
1996-05-01,807.1
1996-06-01,809.9
1996-07-01,810.4
1996-08-01,812.1
1996-09-01,815.8
1996-10-01,820.9
1996-11-01,825.0
1996-12-01,828.4
1997-01-01,826.7
1997-02-01,829.5
1997-03-01,832.7
1997-04-01,834.2
1997-05-01,836.4
1997-06-01,838.1
1997-07-01,838.5
1997-08-01,841.4
1997-09-01,845.0
1997-10-01,845.2
1997-11-01,848.7
1997-12-01,851.1
1998-01-01,856.8
1998-02-01,860.0
1998-03-01,860.7
1998-04-01,869.3
1998-05-01,873.7
1998-06-01,878.4
1998-07-01,883.9
1998-08-01,887.7
1998-09-01,888.6
1998-10-01,887.6
1998-11-01,888.9
1998-12-01,889.6
1999-01-01,895.5
1999-02-01,902.7
1999-03-01,902.4
1999-04-01,901.4
1999-05-01,903.2
1999-06-01,904.5
1999-07-01,911.5
1999-08-01,915.5
1999-09-01,918.2
1999-10-01,922.3
1999-11-01,924.9
1999-12-01,929.5
2000-01-01,931.8
2000-02-01,929.2
2000-03-01,934.3
2000-04-01,938.4
2000-05-01,941.0
2000-06-01,945.6
2000-07-01,942.5
2000-08-01,938.5
2000-09-01,941.1
2000-10-01,943.0
2000-11-01,943.1
2000-12-01,943.4
2001-01-01,942.5
2001-02-01,941.7
2001-03-01,938.7
2001-04-01,939.4
2001-05-01,936.8
2001-06-01,935.0
2001-07-01,932.7
2001-08-01,931.9
2001-09-01,929.7
2001-10-01,929.2
2001-11-01,927.4
2001-12-01,925.0
2002-01-01,925.4
2002-02-01,927.6
2002-03-01,928.1
2002-04-01,927.1
2002-05-01,926.2
2002-06-01,929.1
2002-07-01,930.9
2002-08-01,930.8
2002-09-01,929.8
2002-10-01,927.4
2002-11-01,926.6
2002-12-01,926.2
2003-01-01,926.0
2003-02-01,924.8
2003-03-01,925.5
2003-04-01,926.0
2003-05-01,928.1
2003-06-01,926.4
2003-07-01,915.4
2003-08-01,917.0
2003-09-01,921.1
2003-10-01,923.4
2003-11-01,925.3
2003-12-01,926.1
2004-01-01,924.1
2004-02-01,924.4
2004-03-01,925.4
2004-04-01,926.1
2004-05-01,929.3
2004-06-01,932.4
2004-07-01,931.5
2004-08-01,936.0
2004-09-01,938.2
2004-10-01,941.0
2004-11-01,943.2
2004-12-01,944.9
2005-01-01,946.3
2005-02-01,946.4
2005-03-01,946.8
2005-04-01,950.6
