date,pop_thousands
2000-07-01,1340.417
2001-07-01,1375.381
2002-07-01,1406.699
2003-07-01,1436.890
2004-07-01,1471.706
2005-07-01,1519.448
2006-07-01,1583.869
2007-07-01,1650.974
2008-07-01,1706.469
2009-07-01,1745.524
2010-07-01,2250.187
2011-07-01,2281.611
2012-07-01,2319.298
2013-07-01,2359.584
2014-07-01,2401.734
2015-07-01,2449.506
2016-07-01,2501.838
2017-07-01,2552.701
2018-07-01,2596.204
2019-07-01,2640.117
2020-07-01,2668.342
2021-07-01,2706.093
2022-07-01,2758.749
2023-07-01,2818.271
2024-07-01,2884.708
2025-07-01,2938.830
