Year,Population
1950,142000
1951,148000
1952,154000
1953,160000
1954,167000
1955,174000
1956,181000
1957,188000
1958,195000
1959,203000
1960,211000
1961,217000
1962,224000
1963,230000
1964,237000
1965,244000
1966,251000
1967,258000
1968,266000
1969,274000
1970,281000
1971,288000
1972,294000
1973,301000
1974,308000
1975,315000
1976,322000
1977,329000
1978,337000
1979,345000
1980,353000
1981,362000
1982,372000
1983,382000
1984,392000
1985,402000
1986,413000
1987,424000
1988,435000
1989,447000
1990,461000
1991,486000
1992,511000
1993,538000
1994,566000
1995,596000
1996,627000
1997,659000
1998,694000
1999,730000
2000,768000
2001,808000
2002,849000
2003,892000
2004,938000
2005,986000
2006,1036000
2007,1089000
2008,1145000
2009,1204000
2010,1265000
2011,1330000
2012,1398000
2013,1469000
2014,1544000
2015,1623000
2016,1706000
2017,1794000
2018,1886000
2019,1971000
2020,2054000
2021,2132000
2022,2204000
2023,2267000
2024,2321000
2025,2367000
