year,employment
1990,734200.2500
1991,726533.2500
1992,735039.0000
1993,756238.1667
1994,782102.6667
1995,803193.0833
1996,829750.2500
1997,853716.0000
1998,863543.1667
1999,894345.0000
2000,913343.5000
2001,920070.3333
2002,917752.7500
2003,933984.4167
2004,943708.3333
2005,966292.5000
2006,1014453.0000
2007,1037445.4167
2008,1043454.0833
2009,987922.0833
2010,1024415.2500
2011,1042966.5000
2012,1075260.2500
2013,1099336.4167
2014,1133144.5833
2015,1168767.5833
2016,1206617.5833
2017,1244914.9167
2018,1274063.9167
2019,1308623.0000
2020,1244151.6667
2021,1306367.1667
2022,1388130.0000
2023,1418817.9167
2024,1422876.1667
2025,1428734.9091
2026,1427975.8571
