,demand_units,supply_units,gap
2015,21030.0,13743.0,7287.0
2016,22892.0,17688.0,5204.0
2017,22347.0,17322.0,5024.0
2018,19443.0,19067.0,377.0
2019,19642.0,24390.0,-4748.0
2020,13402.0,22677.0,-9275.0
2021,17235.0,21808.0,-4573.0
2022,23227.0,25217.0,-1990.0
2023,26016.0,29948.0,-3932.0
2024,28829.0,25549.0,3280.0
2025,23957.0,26264.0,-2307.0
2026,24460.0,23620.0,840.0
2027,24522.0,19449.0,5073.0
2028,24619.0,21120.0,3499.0
2029,24738.0,21120.0,3618.0
2030,24871.0,21120.0,3751.0
