place_id,city,n_obs,last_year,last_population,best_model,mae_ets,rmse_ets,2025_ets,2026_ets,2027_ets,2028_ets,2029_ets,mae_arima,rmse_arima,2025_arima,2026_arima,2027_arima,2028_arima,2029_arima,2025_forecast,2025_lower,2025_upper,2026_forecast,2026_lower,2026_upper,2027_forecast,2027_lower,2027_upper,2028_forecast,2028_lower,2028_upper,2029_forecast,2029_lower,2029_upper,pct_change_5y
3651000,"New York city, New York",19,2024,8478072,arima,248497,286819,8449575,8450503,8451246,8451840,8452316,152525,189635,8483923,8485825,8486442,8486643,8486708,8483923,8280410,8687437,8485825,8193505,8778145,8486442,8125401,8847484,8486643,8067674,8905612,8486708,8016803,8956614,0.1
0644000,"Los Angeles city, California",19,2024,3878718,ets,175681,201438,3880178,3881413,3882459,3883344,3884094,183748,205472,3879429,3880012,3880489,3880879,3881199,3880178,3805595,3956533,3881413,3772725,3984054,3882459,3750414,4009029,3883344,3728180,4028615,3884094,3710134,4048486,0.14
1714000,"Chicago city, Illinois",19,2024,2721326,ets,28727,30784,2685789,2682859,2679944,2677043,2674157,28782,31862,2722217,2722108,2722121,2722120,2722120,2685789,2624160,2748882,2682859,2621190,2742897,2679944,2617487,2742414,2677043,2615509,2739032,2674157,2611003,2735081,-1.73
4835000,"Houston city, Texas",19,2024,2387910,arima,84358,91108,2367428,2376445,2384879,2392767,2400145,46469,65249,2392202,2391879,2391903,2391901,2391901,2392202,2322858,2461545,2391879,2291001,2492756,2391903,2267400,2516406,2391901,2247579,2536223,2391901,2230172,2553631,0.17
0455000,"Phoenix city, Arizona",19,2024,1673122,arima,69454,84860,1687875,1699823,1711712,1723540,1735310,68507,85800,1665264,1672595,1665755,1672137,1666183,1665264,1590318,1740210,1672595,1567536,1777654,1665755,1536755,1794756,1672137,1523564,1820709,1666183,1499853,1832514,-0.41
4260000,"Philadelphia city, Pennsylvania",19,2024,1573916,arima,45389,45920,1581110,1581920,1582595,1583156,1583623,23967,27071,1574950,1575811,1576528,1577126,1577624,1574950,1557600,1592299,1575811,1551020,1600601,1576528,1545888,1607168,1577126,1541460,1612793,1577624,1537462,1617786,0.24
4865000,"San Antonio city, Texas",19,2024,1526621,arima,99162,104184,1522628,1528916,1534723,1540086,1545039,87119,87718,1531694,1536211,1540233,1543816,1547005,1531694,1471809,1591578,1536211,1450284,1622137,1540233,1433586,1646880,1543816,1419157,1668474,1547005,1406060,1687951,1.34
0666000,"San Diego city, California",19,2024,1404461,arima,74491,80932,1405837,1406990,1407955,1408764,1409441,50569,54708,1405833,1406985,1407952,1408764,1409445,1405833,1380277,1431390,1406985,1370382,1443588,1407952,1362618,1453286,1408764,1355894,1461633,1409445,1349811,1469079,0.35
4819000,"Dallas city, Texas",19,2024,1326093,arima,58152,59859,1334042,1337571,1340868,1343950,1346831,40862,47713,1315504,1325710,1315874,1325354,1316217,1315504,1264537,1366472,1325710,1254180,1397240,1315874,1228059,1403688,1325354,1224196,1426512,1316217,1202969,1429465,-0.74
4827000,"Fort Worth city, Texas",19,2024,1014376,ets,22334,23778,1029406,1050029,1070529,1090905,1111159,29246,29494,1035480,1056419,1077194,1097807,1118259,1029406,1011711,1047522,1050029,1028615,1069947,1070529,1046361,1093913,1090905,1064324,1116435,1111159,1081901,1138090,9.54
