place_id,city,n_obs,last_year,last_population,best_model,mae_ets,rmse_ets,2025_ets,2026_ets,2027_ets,2028_ets,2029_ets,mae_arima,rmse_arima,2025_arima,2026_arima,2027_arima,2028_arima,2029_arima,2025_forecast,2025_lower,2025_upper,2026_forecast,2026_lower,2026_upper,2027_forecast,2027_lower,2027_upper,2028_forecast,2028_lower,2028_upper,2029_forecast,2029_lower,2029_upper,pct_change_5y
3651000,"New York city, New York",19,2024,8478072,arima,244879,289003,8445621,8446755,8447674,8448420,8449025,152525,189635,8483923,8485825,8486442,8486643,8486708,8483923,8280410,8687437,8485825,8193505,8778145,8486442,8125401,8847484,8486643,8067674,8905612,8486708,8016803,8956614,0.1
0644000,"Los Angeles city, California",19,2024,3878718,ets,176997,202907,3881011,3883042,3884839,3886430,3887838,183775,205537,3879429,3880012,3880489,3880879,3881199,3881011,3805967,3957839,3883042,3773681,3986318,3884839,3751976,4012192,3886430,3730305,4032600,3887838,3712801,4053247,0.24
1714000,"Chicago city, Illinois",19,2024,2721326,arima,28941,31085,2685803,2682874,2679960,2677060,2674174,28782,31862,2722217,2722108,2722121,2722120,2722120,2722217,2669270,2775164,2722108,2646635,2797581,2722121,2629504,2814738,2722120,2615064,2829176,2722120,2602354,2841886,0.03
4835000,"Houston city, Texas",19,2024,2387910,arima,87649,96924,2367419,2376432,2384862,2392746,2400120,46469,65249,2392202,2391879,2391903,2391901,2391901,2392202,2322858,2461545,2391879,2291001,2492756,2391903,2267400,2516406,2391901,2247579,2536223,2391901,2230172,2553631,0.17
0455000,"Phoenix city, Arizona",19,2024,1673122,arima,70097,88558,1677230,1684972,1692321,1699298,1705921,68507,85800,1665264,1672595,1665755,1672137,1666183,1665264,1590318,1740210,1672595,1567536,1777654,1665755,1536755,1794756,1672137,1523564,1820709,1666183,1499853,1832514,-0.41
4260000,"Philadelphia city, Pennsylvania",19,2024,1573916,arima,41002,42467,1580667,1581423,1582049,1582568,1582997,23935,27056,1574950,1575811,1576528,1577126,1577624,1574950,1557600,1592299,1575811,1551020,1600601,1576528,1545888,1607168,1577126,1541460,1612793,1577624,1537462,1617786,0.24
4865000,"San Antonio city, Texas",19,2024,1526621,arima,96188,101557,1523011,1529573,1535642,1541255,1546447,87118,87716,1531694,1536211,1540233,1543816,1547005,1531694,1471809,1591578,1536211,1450284,1622137,1540233,1433586,1646880,1543816,1419157,1668474,1547005,1406060,1687951,1.34
0666000,"San Diego city, California",19,2024,1404461,arima,74977,81269,1405725,1406777,1407654,1408384,1408992,50563,54701,1405833,1406985,1407952,1408763,1409445,1405833,1380277,1431390,1406985,1370382,1443588,1407952,1362618,1453286,1408763,1355894,1461633,1409445,1349811,1469078,0.35
4819000,"Dallas city, Texas",19,2024,1326093,arima,57816,58859,1331465,1334284,1336860,1339215,1341368,40862,47713,1315504,1325710,1315874,1325354,1316217,1315504,1264537,1366472,1325710,1254180,1397240,1315874,1228059,1403688,1325354,1224196,1426512,1316217,1202969,1429465,-0.74
4827000,"Fort Worth city, Texas",19,2024,1014376,ets,25050,27757,1027863,1047821,1067595,1087187,1106599,29246,29494,1035480,1056419,1077194,1097807,1118259,1027863,1010041,1046108,1047821,1026977,1067491,1067595,1043985,1090616,1087187,1061687,1111870,1106599,1078495,1132521,9.09
1235000,"Jacksonville city, Florida",19,2024,1009831,ets,55883,56991,1027876,1046630,1065290,1083856,1102330,74784,76194,1023139,1036445,1049751,1063056,1076360,1027876,1008874,1047330,1046630,1017302,1074472,1065290,1025860,1104029,1083856,1032272,1133544,1102330,1038037,1162018,9.16
0668000,"San Jose city, California",19,2024,997395,arima,84214,91492,996348,997622,998741,999724,1000588,73863,79260,998099,998690,999186,999602,999951,998099,969194,1027004,998690,957359,1040021,999186,948070,1050302,999602,940065,1059138,999951,932873,1067029,0.26
4805000,"Austin city, Texas",19,2024,993771,arima,58607,60033,1004295,1014392,1024082,1033379,1042300,45647,48485,1000439,1006542,1012128,1017242,1021923,1000439,978756,1022121,1006542,975246,1037838,1012128,973065,1051192,1017242,971334,1063151,1021923,969746,1074100,2.83
3712000,"Charlotte city, North Carolina",19,2024,943474,arima,20819,24781,942446,953192,963497,973380,982857,12148,15825,954363,964652,974375,983562,992242,954363,938606,970120,964652,941945,987360,974375,946062,1002687,983562,950309,1016814,992242,954459,1030025,5.17
3918000,"Columbus city, Ohio",19,2024,931551,ets,10930,16387,936246,944176,951785,959085,966090,18491,20872,939421,946902,954013,960772,967196,936246,922603,950214,944176,928682,959114,951785,934275,968815,959085,940339,977152,966090,945998,984969,3.71
1836003,"Indianapolis city (balance), Indiana",19,2024,890315,ets,5342,7692,889263,892443,895440,898265,900927,12682,14160,893125,895705,898072,900245,902240,889263,880551,898182,892443,883725,900930,895440,886611,904271,898265,889566,907028,900927,891999,909540,1.19
0667000,"San Francisco city, California",19,2024,827526,arima,68631,82768,829297,830912,832385,833728,834953,59719,66685,827455,827400,827356,827323,827296,827455,794684,860226,827400,780161,874639,827356,768564,886149,827323,758506,896139,827296,749464,905128,-0.03
5363000,"Seattle city, Washington",19,2024,780992,ets,25360,28044,787097,797313,807312,817099,826678,35626,38172,791429,801600,811511,821168,830578,787097,765795,808906,797313,770957,821904,807312,777189,836286,817099,783622,849165,826678,789722,860813,5.85
0820000,"Denver city, Colorado",19,2024,729019,ets,32987,36563,735865,742511,748965,755231,761316,35299,36037,733712,738073,742128,745897,749400,735865,719328,752794,742511,718413,765269,748965,719687,777028,755231,720828,787441,761316,722745,797765,4.43
4055000,"Oklahoma City city, Oklahoma",19,2024,713014,ets,11051,12781,720173,730089,739953,749767,759530,28928,30043,722723,732314,741791,751153,760402,720173,708011,732624,730089,717919,741937,739953,727627,752281,749767,737623,762000,759530,747067,771553,6.52
4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",19,2024,704965,ets,7287,8389,712241,719482,726685,733853,740985,22515,23544,706714,708013,708978,709694,710226,712241,691409,733569,719482,689123,748151,726685,689803,762038,733853,690513,774430,740985,692395,786902,5.11
1150000,"Washington city, District of Columbia",19,2024,702250,arima,45877,49793,698574,700367,701937,703311,704513,22054,29876,705333,705702,705746,705751,705752,705333,682974,727692,705702,671913,739491,705746,663301,748191,705751,656116,755387,705752,649841,761663,0.5
4824000,"El Paso city, Texas",19,2024,681724,arima,29254,29982,683624,685349,686914,688336,689626,28831,30387,682846,683827,684686,685437,686094,682846,674510,691182,683827,671896,695758,684686,669914,699458,685437,668211,702664,686094,666660,705529,0.64
3240000,"Las Vegas city, Nevada",19,2024,678924,ets,9494,12928,680027,686383,692691,698950,705162,29628,30774,680219,679379,679924,679571,679800,680027,668212,692123,686383,674561,697893,692691,680717,704667,698950,687154,710835,705162,693054,716842,3.86
2507000,"Boston city, Massachusetts",19,2024,673822,arima,33622,35281,673738,674079,674353,674572,674747,31446,32744,675702,676694,677217,677493,677638,675702,649819,701584,676694,638216,715171,677217,628526,725907,677493,620008,734977,677638,612357,742919,0.57
2622000,"Detroit city, Michigan",19,2024,645702,arima,50790,55272,600368,591490,582964,574775,566911,24460,33288,641166,637141,633569,630400,627587,641166,562443,719889,637141,528271,746010,633569,503006,764131,630400,482592,778207,627587,465382,789793,-2.81
2148006,"Louisville/Jefferson County metro government (balance), Kentucky",19,2024,640793,arima,19212,21708,633942,635301,636527,637633,638631,13241,14555,643331,645701,647916,649985,651917,643331,627359,659303,645701,622952,668451,647916,619863,675969,649985,617382,682587,651917,615242,688592,1.74
4159000,"Portland city, Oregon",19,2024,636958,arima,33929,39763,637273,637557,637814,638045,638254,27005,29278,637803,638526,639143,639670,640120,637803,627678,647929,638526,623946,653106,639143,620997,657289,639670,618414,660925,640120,616049,664191,0.5
4748000,"Memphis city, Tennessee",19,2024,610936,arima,29699,32253,604219,596075,587971,579909,571886,24273,28349,610962,610970,610972,610972,610973,610962,595982,625942,610970,589813,632126,610972,585079,636864,610972,581087,640858,610973,577568,644377,0.01
2404000,"Baltimore city, Maryland",19,2024,568271,arima,38153,39690,566309,564356,562413,560480,558557,36436,37731,568340,568356,568359,568360,568360,568340,557124,579556,568356,552178,584533,568359,548359,588360,568360,545146,591574,568360,542324,594397,0.02
5553000,"Milwaukee city, Wisconsin",19,2024,563512,arima,31147,32571,558493,556605,555016,553677,552550,25526,27824,563302,563150,563039,562959,562902,563302,552614,573990,563150,547868,578431,563039,544156,581922,562959,540997,584922,562902,538201,587603,-0.11
3502000,"Albuquerque city, New Mexico",19,2024,560333,ets,12943,15650,561064,561664,562176,562613,562987,13242,15242,560832,561254,561612,561915,562172,561064,552504,569827,561664,549414,573216,562176,547329,576330,562613,545142,578756,562987,543559,581313,0.47
0477000,"Tucson city, Arizona",19,2024,554011,ets,13412,13732,549615,551121,552620,554111,555594,14221,14904,554140,554088,554109,554100,554104,549615,535232,564341,551121,536728,565134,552620,538043,567200,554111,539749,568578,555594,540854,569813,0.29
0627000,"Fresno city, California",19,2024,550091,ets,5633,6269,556321,560371,564373,568327,572234,6050,8869,554118,558145,562172,566199,570225,556321,548238,564597,560371,552282,568246,564373,556181,572567,568327,560256,576458,572234,563950,580225,4.03
0664000,"Sacramento city, California",19,2024,535787,arima,9158,9824,537932,542732,547507,552258,556986,6798,7772,540671,545555,550439,555322,560206,540671,534304,547039,545555,536507,554603,550439,539306,561572,555322,542407,568238,560206,545699,574713,4.56
1304000,"Atlanta city, Georgia",19,2024,520066,ets,32287,33358,511356,515155,518934,522695,526438,33006,35298,520784,521242,521535,521721,521840,511356,461120,562785,515155,464887,564093,518934,468024,569856,522695,472537,573225,526438,474959,576099,1.23
0446000,"Mesa city, Arizona",19,2024,517142,arima,38888,46172,519284,521895,524492,527077,529648,31602,35941,518085,517782,517879,517848,517858,518085,503107,533063,517782,495225,540338,517879,490074,545685,517848,485539,550157,517858,481629,554087,0.14
2938000,"Kansas City city, Missouri",19,2024,516045,ets,12983,13692,518098,522171,526223,530255,534267,24230,27386,515456,515959,515529,515897,515582,518098,502592,533973,522171,506655,537277,526223,510509,541941,530255,514773,545852,534267,518377,549596,3.53
3755000,"Raleigh city, North Carolina",19,2024,499637,arima,16281,17800,501453,506183,510638,514835,518790,8646,10126,503158,506303,509113,511622,513863,503158,491810,514507,506303,489788,522819,509113,488352,529873,511622,487074,536170,513863,485818,541908,2.85
0816000,"Colorado Springs city, Colorado",19,2024,493540,ets,9126,10579,502421,507273,511994,516588,521058,12354,16035,497786,501862,505774,509528,513131,502421,492985,512082,507273,497830,516466,511994,502431,521559,516588,507166,526079,521058,511388,530387,5.58
3137000,"Omaha city, Nebraska",19,2024,489263,ets,8047,10099,498422,503082,507599,511978,516223,25973,27457,489309,489316,489317,489317,489317,498422,474288,523129,503082,478933,526592,507599,483141,532062,511978,487882,536253,516223,491492,540081,5.51
1245000,"Miami city, Florida",19,2024,487006,arima,32190,35525,478882,482336,485584,488638,491510,20642,28011,485927,485753,485724,485720,485719,485927,461213,510642,485753,451377,520129,485724,443936,527513,485720,437659,533780,485719,432117,539321,-0.26
5182000,"Virginia Beach city, Virginia",19,2024,454808,ets,5805,7009,455375,455895,456374,456813,457218,6027,7175,454825,454823,454823,454823,454823,455375,450357,460511,455895,448584,462800,456374,447491,464888,456813,446375,466586,457218,445515,468276,0.53
0643000,"Long Beach city, California",19,2024,450917,arima,17555,19566,447787,446824,446053,445436,444943,14612,15710,451069,450952,451042,450972,451026,451069,445667,456472,450952,443233,458671,451042,441606,460479,450972,440054,461891,451026,438826,463227,0.02
