year,"Jacksonville city, Florida","Miami city, Florida","Orlando city, Florida","St. Petersburg city, Florida","Tampa city, Florida"
1990,336569.4166666667,908413.5833333334,374134.3333333333,405555.5833333333,436589.0833333333
1991,332435.25,898905.8333333334,366134.8333333333,394400.5,425639.25
1992,333277.4166666667,892652.0833333334,374731.1666666667,394994.1666666667,431459.0
1993,341287.5,891596.5833333334,391026.25,407169.3333333333,449256.5
1994,351035.1666666667,916434.9166666666,405964.0833333333,425042.8333333333,471868.9166666667
1995,362048.0833333333,938887.0833333334,415853.75,432647.3333333333,485591.4166666667
1996,364518.9166666667,971850.0,430243.5833333333,435488.4166666667,494164.5833333333
1997,370611.0,999418.5833333334,453233.3333333333,450042.4166666667,515822.3333333333
1998,378765.0833333333,1008276.3333333334,475693.6666666667,463290.3333333333,538139.9166666666
1999,386075.0833333333,1017001.1666666666,495921.0833333333,474022.1666666667,558793.5833333334
2000,397993.75,1038589.4166666666,488284.5,459426.75,515867.25
2001,397969.0833333333,1026894.75,491526.4166666667,454227.75,521001.1666666667
2002,388971.75,1010095.1666666666,481900.9166666667,442822.8333333333,519716.5
2003,387941.1666666667,1030351.5833333334,489819.9166666667,438492.0833333333,524659.1666666666
2004,393311.25,1052890.0833333333,510591.0833333333,447521.5,548088.5833333334
2005,408557.9166666667,1112733.3333333333,539086.8333333334,439930.3333333333,554055.0833333334
2006,420792.4166666667,1163925.75,562432.4166666666,441980.75,571444.25
2007,427967.25,1202429.4166666667,579107.5,437014.9166666667,577675.0833333334
2008,423023.5,1177804.9166666667,573070.1666666666,422801.1666666667,566197.0833333334
2009,400493.0,1097240.4166666667,541036.75,398418.75,540854.0833333334
2010,403896.0,1088113.8333333333,567494.6666666666,415602.75,577440.0833333334
2011,407510.6666666667,1136669.0,576350.0,416852.6666666667,595124.5833333334
2012,412035.9166666667,1179617.4166666667,593560.0833333334,425068.4166666667,608873.6666666666
2013,419249.6666666667,1172323.6666666667,612299.5,434840.4166666667,623117.5833333334
2014,425430.5833333333,1205705.75,631661.0833333334,440718.25,637912.1666666666
2015,433142.25,1215624.3333333333,650565.0833333334,446629.0833333333,653451.8333333334
2016,452833.0833333333,1234414.9166666667,684418.1666666666,440250.1666666667,675072.4166666666
2017,463903.6666666667,1285005.5,706064.8333333334,449621.0,686568.25
2018,473367.8333333333,1302066.25,726389.3333333334,458586.25,696079.0
2019,479549.5,1338667.4166666667,742396.1666666666,465306.75,711309.5
2020,456737.5833333333,1173364.9166666667,665712.1666666666,440166.0,679739.75
2021,475696.3333333333,1255395.6666666667,706361.0833333334,465044.1666666667,716760.25
2022,496219.75,1350181.5833333333,764444.8333333334,486422.25,756526.6666666666
2023,504443.9166666667,1395548.5,790585.1666666666,492660.8333333333,778807.4166666666
2024,503627.1666666667,1401606.3333333333,790103.3333333334,485190.5833333333,779096.25
