year,Jacksonville,Miami,Orlando,St. Petersburg,Tampa
1979,536573.0,344755.0,124658.0,240427.0,275686.0
1980,540802.0,366056.0,127530.0,240210.0,273430.0
1981,545031.0,387357.0,130403.0,239993.0,271174.0
1982,548711.0,386302.0,132200.0,240692.0,271977.0
1983,554378.0,385142.0,133217.0,240933.0,274336.0
1984,571427.0,383027.0,137043.0,242115.0,275512.0
1985,580594.0,380446.0,143320.0,243002.0,276444.0
1986,609614.0,371975.0,148104.0,243090.0,278755.0
1987,626457.0,368210.0,154413.0,243646.0,280970.0
1988,639146.0,369007.0,158921.0,243306.0,285225.0
1989,647440.0,371444.0,166181.0,246769.0,287917.0
1990,644933.0,365260.0,167318.0,242254.0,284018.0
1991,642426.0,359076.0,168456.0,237739.0,280120.0
1992,653206.0,359973.0,169675.0,239132.0,281837.0
1993,661243.0,364679.0,172019.0,239701.0,282848.0
1994,669695.0,365557.0,170780.0,240902.0,283802.0
1995,676718.0,365498.0,170307.0,241563.0,285153.0
1996,686172.0,365127.0,173122.0,241276.0,289337.0
1997,698735.0,364719.0,176373.0,241413.0,290886.0
1998,710595.0,364765.0,180462.0,241625.0,293390.0
1999,719072.0,365204.0,184639.0,242690.0,297505.0
2000,734792.0,364602.0,186566.0,246196.0,302755.0
2001,750513.0,364001.0,188494.0,249703.0,308005.0
2002,765826.0,366496.0,194913.0,250354.0,311880.0
2003,782381.0,372920.0,201851.0,252246.0,318258.0
2004,795985.0,379550.0,208900.0,253010.0,323663.0
2005,816648.0,386882.0,217567.0,253902.0,326519.0
2006,834789.0,391355.0,224055.0,254225.0,330886.0
2007,852450.0,395434.0,228765.0,253369.0,336264.0
2008,859421.0,406242.0,234130.0,251459.0,339365.0
2009,855067.0,417451.0,233115.0,248729.0,339480.0
2010,838552.0,411944.0,237546.0,247511.0,338424.0
2011,822038.0,406436.0,241978.0,246293.0,337368.0
2012,826865.0,414751.0,245402.0,247673.0,341771.0
2013,832993.0,419777.0,250415.0,249704.0,346609.0
2014,846421.0,428107.0,255636.0,252372.0,352741.0
2015,861252.0,439509.0,262949.0,256681.0,358279.0
2016,878456.0,456089.0,271752.0,259906.0,365124.0
2017,891207.0,467872.0,279789.0,263768.0,373058.0
2018,907093.0,481333.0,285099.0,266076.0,378531.0
2019,924900.0,490947.0,291800.0,269357.0,390473.0
2020,936250.0,497924.0,298943.0,271044.0,392953.0
2021,970562.0,449747.0,314506.0,260778.0,391800.0
2022,987247.0,459224.0,321904.0,264220.0,401512.0
2023,1004869.0,464225.0,326988.0,265782.0,406294.0
2024,1016103.0,467171.0,335066.0,267031.0,409458.0
2025,1032601.0,478799.0,340681.0,266153.0,412684.0
