year,place_id,city,population,city_clean
2010,1200410,"Alafaya CDP, Florida",84809,Alafaya
2011,1200410,"Alafaya CDP, Florida",67743,Alafaya
2012,1200410,"Alafaya CDP, Florida",85334,Alafaya
2013,1200410,"Alafaya CDP, Florida",76821,Alafaya
2014,1200410,"Alafaya CDP, Florida",84594,Alafaya
2015,1200410,"Alafaya CDP, Florida",85264,Alafaya
2016,1200410,"Alafaya CDP, Florida",91779,Alafaya
2017,1200410,"Alafaya CDP, Florida",88496,Alafaya
2018,1200410,"Alafaya CDP, Florida",92740,Alafaya
2019,1200410,"Alafaya CDP, Florida",96528,Alafaya
2021,1200410,"Alafaya CDP, Florida",95779,Alafaya
2022,1200410,"Alafaya CDP, Florida",91249,Alafaya
2023,1200410,"Alafaya CDP, Florida",94330,Alafaya
2024,1200410,"Alafaya CDP, Florida",98873,Alafaya
2010,1207300,"Boca Raton city, Florida",84604,Boca Raton
2011,1207300,"Boca Raton city, Florida",85334,Boca Raton
2012,1207300,"Boca Raton city, Florida",87848,Boca Raton
2013,1207300,"Boca Raton city, Florida",89409,Boca Raton
2014,1207300,"Boca Raton city, Florida",91321,Boca Raton
2015,1207300,"Boca Raton city, Florida",93226,Boca Raton
2016,1207300,"Boca Raton city, Florida",96115,Boca Raton
2017,1207300,"Boca Raton city, Florida",98153,Boca Raton
2018,1207300,"Boca Raton city, Florida",99241,Boca Raton
2019,1207300,"Boca Raton city, Florida",99795,Boca Raton
2021,1207300,"Boca Raton city, Florida",95785,Boca Raton
2022,1207300,"Boca Raton city, Florida",98997,Boca Raton
2023,1207300,"Boca Raton city, Florida",99973,Boca Raton
2024,1207300,"Boca Raton city, Florida",102235,Boca Raton
2010,1207875,"Boynton Beach city, Florida",68380,Boynton Beach
2011,1207875,"Boynton Beach city, Florida",68997,Boynton Beach
2012,1207875,"Boynton Beach city, Florida",70120,Boynton Beach
2013,1207875,"Boynton Beach city, Florida",71103,Boynton Beach
2014,1207875,"Boynton Beach city, Florida",73121,Boynton Beach
2015,1207875,"Boynton Beach city, Florida",73972,Boynton Beach
2016,1207875,"Boynton Beach city, Florida",75569,Boynton Beach
2017,1207875,"Boynton Beach city, Florida",77704,Boynton Beach
2018,1207875,"Boynton Beach city, Florida",78038,Boynton Beach
2019,1207875,"Boynton Beach city, Florida",78690,Boynton Beach
2021,1207875,"Boynton Beach city, Florida",80083,Boynton Beach
2022,1207875,"Boynton Beach city, Florida",80866,Boynton Beach
2023,1207875,"Boynton Beach city, Florida",81252,Boynton Beach
2024,1207875,"Boynton Beach city, Florida",83095,Boynton Beach
2010,1208150,"Brandon CDP, Florida",102939,Brandon
2011,1208150,"Brandon CDP, Florida",106312,Brandon
2012,1208150,"Brandon CDP, Florida",101167,Brandon
2013,1208150,"Brandon CDP, Florida",115318,Brandon
2014,1208150,"Brandon CDP, Florida",105125,Brandon
2015,1208150,"Brandon CDP, Florida",113968,Brandon
2016,1208150,"Brandon CDP, Florida",109582,Brandon
2017,1208150,"Brandon CDP, Florida",121190,Brandon
2018,1208150,"Brandon CDP, Florida",119778,Brandon
2019,1208150,"Brandon CDP, Florida",116829,Brandon
2021,1208150,"Brandon CDP, Florida",116994,Brandon
2022,1208150,"Brandon CDP, Florida",126628,Brandon
2023,1208150,"Brandon CDP, Florida",116754,Brandon
2024,1208150,"Brandon CDP, Florida",127048,Brandon
2010,1210275,"Cape Coral city, Florida",154668,Cape Coral
2011,1210275,"Cape Coral city, Florida",157476,Cape Coral
2012,1210275,"Cape Coral city, Florida",161237,Cape Coral
2013,1210275,"Cape Coral city, Florida",165849,Cape Coral
2014,1210275,"Cape Coral city, Florida",169855,Cape Coral
2015,1210275,"Cape Coral city, Florida",175230,Cape Coral
2016,1210275,"Cape Coral city, Florida",179795,Cape Coral
2017,1210275,"Cape Coral city, Florida",183356,Cape Coral
2018,1210275,"Cape Coral city, Florida",189342,Cape Coral
2019,1210275,"Cape Coral city, Florida",194504,Cape Coral
2021,1210275,"Cape Coral city, Florida",204519,Cape Coral
2022,1210275,"Cape Coral city, Florida",216984,Cape Coral
2023,1210275,"Cape Coral city, Florida",224452,Cape Coral
2024,1210275,"Cape Coral city, Florida",233025,Cape Coral
2010,1212875,"Clearwater city, Florida",107697,Clearwater
2011,1212875,"Clearwater city, Florida",107774,Clearwater
2012,1212875,"Clearwater city, Florida",108732,Clearwater
2013,1212875,"Clearwater city, Florida",109705,Clearwater
2014,1212875,"Clearwater city, Florida",110709,Clearwater
2015,1212875,"Clearwater city, Florida",112979,Clearwater
2016,1212875,"Clearwater city, Florida",114351,Clearwater
2017,1212875,"Clearwater city, Florida",115501,Clearwater
2018,1212875,"Clearwater city, Florida",116484,Clearwater
2019,1212875,"Clearwater city, Florida",116938,Clearwater
2021,1212875,"Clearwater city, Florida",116667,Clearwater
2022,1212875,"Clearwater city, Florida",117010,Clearwater
2023,1212875,"Clearwater city, Florida",116868,Clearwater
2024,1212875,"Clearwater city, Florida",116821,Clearwater
2010,1214400,"Coral Springs city, Florida",121492,Coral Springs
2011,1214400,"Coral Springs city, Florida",123336,Coral Springs
2012,1214400,"Coral Springs city, Florida",125275,Coral Springs
2013,1214400,"Coral Springs city, Florida",126595,Coral Springs
2014,1214400,"Coral Springs city, Florida",127963,Coral Springs
2015,1214400,"Coral Springs city, Florida",129502,Coral Springs
2016,1214400,"Coral Springs city, Florida",130046,Coral Springs
2017,1214400,"Coral Springs city, Florida",133058,Coral Springs
2018,1214400,"Coral Springs city, Florida",133493,Coral Springs
2019,1214400,"Coral Springs city, Florida",133765,Coral Springs
2021,1214400,"Coral Springs city, Florida",132822,Coral Springs
2022,1214400,"Coral Springs city, Florida",133365,Coral Springs
2023,1214400,"Coral Springs city, Florida",134913,Coral Springs
2024,1214400,"Coral Springs city, Florida",140816,Coral Springs
2010,1216475,"Davie town, Florida",92290,Davie
2011,1216475,"Davie town, Florida",93686,Davie
2012,1216475,"Davie town, Florida",95492,Davie
2013,1216475,"Davie town, Florida",96818,Davie
2014,1216475,"Davie town, Florida",98905,Davie
2015,1216475,"Davie town, Florida",100894,Davie
2016,1216475,"Davie town, Florida",101857,Davie
2017,1216475,"Davie town, Florida",105146,Davie
2018,1216475,"Davie town, Florida",106565,Davie
2019,1216475,"Davie town, Florida",106310,Davie
2021,1216475,"Davie town, Florida",104873,Davie
2022,1216475,"Davie town, Florida",106488,Davie
2023,1216475,"Davie town, Florida",107814,Davie
2024,1216475,"Davie town, Florida",112040,Davie
2016,1216525,"Daytona Beach city, Florida",66649,Daytona Beach
2017,1216525,"Daytona Beach city, Florida",68055,Daytona Beach
2018,1216525,"Daytona Beach city, Florida",68862,Daytona Beach
2019,1216525,"Daytona Beach city, Florida",69197,Daytona Beach
2021,1216525,"Daytona Beach city, Florida",74435,Daytona Beach
2022,1216525,"Daytona Beach city, Florida",77957,Daytona Beach
2023,1216525,"Daytona Beach city, Florida",82493,Daytona Beach
2024,1216525,"Daytona Beach city, Florida",86007,Daytona Beach
2010,1216725,"Deerfield Beach city, Florida",75245,Deerfield Beach
2011,1216725,"Deerfield Beach city, Florida",76392,Deerfield Beach
2012,1216725,"Deerfield Beach city, Florida",77426,Deerfield Beach
2013,1216725,"Deerfield Beach city, Florida",78045,Deerfield Beach
2014,1216725,"Deerfield Beach city, Florida",78898,Deerfield Beach
2015,1216725,"Deerfield Beach city, Florida",79769,Deerfield Beach
2016,1216725,"Deerfield Beach city, Florida",79754,Deerfield Beach
2017,1216725,"Deerfield Beach city, Florida",80572,Deerfield Beach
2018,1216725,"Deerfield Beach city, Florida",80854,Deerfield Beach
2019,1216725,"Deerfield Beach city, Florida",81070,Deerfield Beach
2021,1216725,"Deerfield Beach city, Florida",86355,Deerfield Beach
2022,1216725,"Deerfield Beach city, Florida",86781,Deerfield Beach
2023,1216725,"Deerfield Beach city, Florida",87322,Deerfield Beach
2024,1216725,"Deerfield Beach city, Florida",90487,Deerfield Beach
2014,1217100,"Delray Beach city, Florida",65054,Delray Beach
2015,1217100,"Delray Beach city, Florida",66261,Delray Beach
2016,1217100,"Delray Beach city, Florida",67366,Delray Beach
2017,1217100,"Delray Beach city, Florida",68749,Delray Beach
2018,1217100,"Delray Beach city, Florida",69356,Delray Beach
2019,1217100,"Delray Beach city, Florida",69449,Delray Beach
2021,1217100,"Delray Beach city, Florida",66579,Delray Beach
2022,1217100,"Delray Beach city, Florida",67035,Delray Beach
2023,1217100,"Delray Beach city, Florida",67542,Delray Beach
2024,1217100,"Delray Beach city, Florida",70133,Delray Beach
2010,1217200,"Deltona city, Florida",85183,Deltona
2011,1217200,"Deltona city, Florida",85212,Deltona
2012,1217200,"Deltona city, Florida",85436,Deltona
2013,1217200,"Deltona city, Florida",86300,Deltona
2014,1217200,"Deltona city, Florida",86907,Deltona
2015,1217200,"Deltona city, Florida",88474,Deltona
2016,1217200,"Deltona city, Florida",90139,Deltona
2017,1217200,"Deltona city, Florida",90743,Deltona
2018,1217200,"Deltona city, Florida",91946,Deltona
2019,1217200,"Deltona city, Florida",92752,Deltona
2021,1217200,"Deltona city, Florida",95771,Deltona
2022,1217200,"Deltona city, Florida",97285,Deltona
2023,1217200,"Deltona city, Florida",98749,Deltona
2024,1217200,"Deltona city, Florida",100515,Deltona
2019,1217935,"Doral city, Florida",65746,Doral
2021,1217935,"Doral city, Florida",75954,Doral
2022,1217935,"Doral city, Florida",76999,Doral
2023,1217935,"Doral city, Florida",79359,Doral
2024,1217935,"Doral city, Florida",83620,Doral
2010,1224000,"Fort Lauderdale city, Florida",166039,Fort Lauderdale
2011,1224000,"Fort Lauderdale city, Florida",168527,Fort Lauderdale
2012,1224000,"Fort Lauderdale city, Florida",170747,Fort Lauderdale
2013,1224000,"Fort Lauderdale city, Florida",172374,Fort Lauderdale
2014,1224000,"Fort Lauderdale city, Florida",176018,Fort Lauderdale
