year,"Jacksonville city, Florida","Miami city, Florida","Tampa city, Florida","Orlando city, Florida","St. Petersburg city, Florida","Port St. Lucie city, Florida","Hialeah city, Florida","Cape Coral city, Florida","Tallahassee city, Florida","Fort Lauderdale city, Florida","Pembroke Pines city, Florida","Hollywood city, Florida","Lehigh Acres CDP, Florida","Gainesville city, Florida","Miramar city, Florida","Palm Bay city, Florida","Coral Springs city, Florida","West Palm Beach city, Florida","Brandon CDP, Florida","Lakeland city, Florida","Pompano Beach city, Florida","Spring Hill CDP, Florida","Clearwater city, Florida","Miami Gardens city, Florida","Riverview CDP, Florida","Davie town, Florida","Palm Coast city, Florida","Boca Raton city, Florida","Plantation city, Florida","Deltona city, Florida","Sunrise city, Florida","Fort Myers city, Florida","Alafaya CDP, Florida","North Port city, Florida","Deerfield Beach city, Florida","Melbourne city, Florida","Town 'n' Country CDP, Florida","Daytona Beach city, Florida","Homestead city, Florida","Four Corners CDP, Florida","Kissimmee city, Florida","Wesley Chapel CDP, Florida","Doral city, Florida","Miami Beach city, Florida","Boynton Beach city, Florida","Kendall CDP, Florida","Largo city, Florida","The Villages CDP, Florida","Poinciana CDP, Florida","Lauderhill city, Florida","Pine Hills CDP, Florida","Tamarac city, Florida","St. Cloud city, Florida","Weston city, Florida","Ocala city, Florida","Delray Beach city, Florida","Horizon West CDP, Florida","Fountainebleau CDP, Florida","Port Charlotte CDP, Florida","Sanford city, Florida","Port Orange city, Florida","Jupiter town, Florida","The Hammocks CDP, Florida","Wellington village, Florida","Palm Harbor CDP, Florida"
2005,768537.0,361701.0,312855.0,221299.0,232960.0,122554.0,213791.0,134388.0,141148.0,141307.0,159422.0,138412.0,,100879.0,115444.0,90102.0,127654.0,86804.0,89929.0,89586.0,94892.0,85894.0,108382.0,91694.0,,88683.0,,74361.0,88859.0,85979.0,86586.0,,,,71599.0,76373.0,77622.0,,,,,,,84086.0,58611.0,88442.0,71269.0,,,,,,,70557.0,,,,,,,,,,,
2006,799875.0,358091.0,322428.0,220268.0,261073.0,140127.0,209971.0,148246.0,154062.0,174107.0,154942.0,144092.0,67863.0,105714.0,111881.0,93419.0,138021.0,92686.0,88657.0,100502.0,105941.0,94552.0,115498.0,90741.0,,83422.0,58632.0,74623.0,78287.0,82354.0,84887.0,,,,82272.0,76447.0,70224.0,,,,,,,84880.0,63267.0,78524.0,75801.0,,,,,,,68421.0,,,,,,,,,,,
2007,808526.0,348827.0,334093.0,223801.0,236605.0,152384.0,215692.0,149748.0,161929.0,166776.0,164839.0,139258.0,68925.0,111223.0,120144.0,102153.0,120808.0,88525.0,90470.0,91947.0,103611.0,96940.0,107430.0,112259.0,,98018.0,71409.0,88496.0,87414.0,86602.0,84829.0,,,,77591.0,70150.0,72830.0,,,,,,,75017.0,66033.0,81139.0,74909.0,,,67118.0,,,,64781.0,,,,,,,,,,,
2008,811953.0,343142.0,341137.0,232337.0,248308.0,151781.0,207206.0,153621.0,165451.0,165384.0,171407.0,130812.0,64931.0,120849.0,112223.0,101404.0,124966.0,96484.0,98572.0,95455.0,106589.0,95682.0,99479.0,106690.0,,103506.0,72472.0,80958.0,80669.0,91519.0,87576.0,60700.0,,,69204.0,72841.0,77072.0,,,,,,,82507.0,61319.0,78452.0,74735.0,,,73418.0,,,,61017.0,,,,,,,,,,,
2009,813518.0,433143.0,343879.0,235876.0,244318.0,154399.0,218901.0,154209.0,172576.0,184906.0,146625.0,142615.0,74656.0,116615.0,109165.0,101007.0,126507.0,99506.0,90757.0,93738.0,102609.0,91802.0,106064.0,109336.0,,91717.0,71774.0,86433.0,84904.0,83529.0,89731.0,64669.0,,,75194.0,77462.0,74372.0,,,,,,,88066.0,69643.0,75790.0,73222.0,,,67437.0,,,,63924.0,,,,,,,,,,,
2010,823316.0,400892.0,336945.0,239037.0,244818.0,165153.0,225461.0,154668.0,181734.0,166039.0,155252.0,141202.0,88196.0,124433.0,122438.0,103225.0,121492.0,100175.0,102939.0,97530.0,100154.0,97103.0,107697.0,107559.0,66415.0,92290.0,77473.0,84604.0,85217.0,85183.0,84717.0,62429.0,84809.0,,75245.0,76083.0,81175.0,,,,,,,88110.0,68380.0,82561.0,77663.0,,,67100.0,,,,65528.0,,,,,,,,,,,
2011,827909.0,408760.0,346064.0,243209.0,244995.0,166162.0,229967.0,157476.0,182955.0,168527.0,157612.0,143351.0,98100.0,125325.0,124285.0,103234.0,123336.0,101065.0,106312.0,98608.0,101632.0,106718.0,107774.0,109672.0,62319.0,93686.0,79538.0,85334.0,86516.0,85212.0,85990.0,63528.0,67743.0,,76392.0,76089.0,78227.0,,,,,,,89845.0,68997.0,75893.0,77720.0,,,68115.0,,,,66545.0,,,,,,,,,,,
2012,836507.0,413864.0,347650.0,249525.0,246533.0,168718.0,231953.0,161237.0,186977.0,170747.0,160292.0,145241.0,104011.0,126038.0,128737.0,104136.0,125275.0,101910.0,101167.0,100009.0,102968.0,101269.0,108732.0,110739.0,79420.0,95492.0,79980.0,87848.0,88019.0,85436.0,88859.0,65733.0,85334.0,,77426.0,77047.0,81597.0,,,,,,,90579.0,70120.0,75640.0,77871.0,,,69083.0,69219.0,,,67645.0,,,,,,,,,,,
2013,842588.0,417670.0,352981.0,255479.0,249702.0,170999.0,233394.0,165849.0,186408.0,172374.0,162333.0,146522.0,118806.0,127493.0,130281.0,104894.0,126595.0,102433.0,115318.0,100697.0,104406.0,101349.0,109705.0,111381.0,75934.0,96818.0,79378.0,89409.0,90280.0,86300.0,90133.0,68184.0,76821.0,,78045.0,77490.0,77829.0,,,,65186.0,,,91019.0,71103.0,71373.0,78415.0,,,69793.0,67295.0,,,68386.0,,,,,,,,,,,
2014,853376.0,430341.0,358684.0,262396.0,253682.0,174093.0,235566.0,169855.0,188106.0,176018.0,164625.0,148040.0,111416.0,128474.0,134991.0,105845.0,127963.0,104017.0,105125.0,102335.0,106115.0,98950.0,110709.0,112270.0,81226.0,98905.0,82388.0,91321.0,91454.0,86907.0,91256.0,70916.0,84594.0,,78898.0,78486.0,87874.0,,65514.0,,66729.0,,,91721.0,73121.0,79143.0,79028.0,68874.0,,70636.0,76021.0,,,69091.0,,65054.0,,,,,,,,,
