city,county,population,year
Alachua,Alachua,11353.0,2025
Archer,Alachua,1135.0,2025
Gainesville,Alachua,151275.0,2025
Hawthorne,Alachua,1494.0,2025
High Springs,Alachua,7131.0,2025
La Crosse,Alachua,306.0,2025
Micanopy,Alachua,666.0,2025
Newberry,Alachua,9553.0,2025
Waldo,Alachua,857.0,2025
Glen St. Mary,Baker,491.0,2025
Macclenny,Baker,8162.0,2025
Callaway,Bay,15157.0,2025
Lynn Haven,Bay,21733.0,2025
Mexico Beach,Bay,1402.0,2025
Panama City,Bay,38078.0,2025
Panama City Beach,Bay,19581.0,2025
Parker,Bay,4608.0,2025
Springfield,Bay,9213.0,2025
Brooker,Bradford,305.0,2025
Hampton,Bradford,498.0,2025
Lawtey,Bradford,708.0,2025
Starke,Bradford,6174.0,2025
Cape Canaveral,Brevard,9987.0,2025
Cocoa,Brevard,21518.0,2025
Cocoa Beach,Brevard,11361.0,2025
Grant-Valkaria,Brevard,5859.0,2025
Indialantic,Brevard,3009.0,2025
Indian Harbour Beach,Brevard,8998.0,2025
Malabar,Brevard,3136.0,2025
Melbourne,Brevard,88499.0,2025
Melbourne Beach,Brevard,3334.0,2025
Melbourne Village,Brevard,691.0,2025
Palm Bay,Brevard,146929.0,2025
Palm Shores,Brevard,1189.0,2025
Rockledge,Brevard,30554.0,2025
Satellite Beach,Brevard,11493.0,2025
Titusville,Brevard,51158.0,2025
West Melbourne,Brevard,32372.0,2025
Coconut Creek,Broward,57933.0,2025
Cooper City,Broward,35011.0,2025
Coral Springs,Broward,136062.0,2025
Dania Beach,Broward,34034.0,2025
Davie,Broward,107914.0,2025
Deerfield Beach,Broward,87712.0,2025
Fort Lauderdale,Broward,192338.0,2025
Hallandale Beach,Broward,41819.0,2025
Hillsboro Beach,Broward,1978.0,2025
Hollywood,Broward,156997.0,2025
Lauderdale Lakes,Broward,36647.0,2025
Lauderdale-By-The-Sea,Broward,6187.0,2025
Lauderhill,Broward,74772.0,2025
Lazy Lake,Broward,31.0,2025
Lighthouse Point,Broward,10454.0,2025
Margate,Broward,58727.0,2025
Miramar,Broward,140807.0,2025
North Lauderdale,Broward,44888.0,2025
Oakland Park,Broward,46465.0,2025
Parkland,Broward,38427.0,2025
Pembroke Park,Broward,6056.0,2025
Pembroke Pines,Broward,171413.0,2025
Plantation,Broward,98437.0,2025
Pompano Beach,Broward,115813.0,2025
Sea Ranch Lakes,Broward,540.0,2025
Southwest Ranches,Broward,7783.0,2025
Sunrise,Broward,98310.0,2025
Tamarac,Broward,73563.0,2025
West Park,Broward,15315.0,2025
Weston,Broward,68311.0,2025
Wilton Manors,Broward,11497.0,2025
Altha,Calhoun,520.0,2025
Blountstown,Calhoun,2231.0,2025
Punta Gorda,Charlotte,20446.0,2025
Crystal River,Citrus,3271.0,2025
Inverness,Citrus,7937.0,2025
Green Cove Springs,Clay,10275.0,2025
Keystone Heights,Clay,1471.0,2025
Orange Park,Clay,9158.0,2025
Penney Farms,Clay,835.0,2025
Everglades,Collier,378.0,2025
Marco Island,Collier,16194.0,2025
Naples,Collier,19089.0,2025
Fort White,Columbia,664.0,2025
Lake City,Columbia,12579.0,2025
Arcadia,DeSoto,8002.0,2025
Cross City,Dixie,1748.0,2025
Horseshoe Beach,Dixie,114.0,2025
Atlantic Beach,Duval,13524.0,2025
Baldwin,Duval,1425.0,2025
Jacksonville,Duval,1032601.0,2025
Jacksonville Beach,Duval,24253.0,2025
Neptune Beach,Duval,7241.0,2025
Century,Escambia,1621.0,2025
Pensacola,Escambia,55194.0,2025
Beverly Beach,Flagler,504.0,2025
Bunnell,Flagler,4224.0,2025
Palm Coast,Flagler,110330.0,2025
Marineland,Flagler/St. Johns,15.0,2025
Flagler Beach,Flagler/Volusia,5731.0,2025
Apalachicola,Franklin,2456.0,2025
Carrabelle,Franklin,3071.0,2025
Chattahoochee,Gadsden,2833.0,2025
Greensboro,Gadsden,449.0,2025
Gretna,Gadsden,1369.0,2025
Havana,Gadsden,1758.0,2025
Midway,Gadsden,3664.0,2025
Quincy,Gadsden,8131.0,2025
Bell,Gilchrist,558.0,2025
Trenton,Gilchrist,2221.0,2025
Fanning Springs,Gilchrist/Levy,1336.0,2025
Moore Haven,Glades,1641.0,2025
Port St. Joe,Gulf,3896.0,2025
Wewahitchka,Gulf,2261.0,2025
Jasper,Hamilton,4004.0,2025
Jennings,Hamilton,708.0,2025
White Springs,Hamilton,715.0,2025
Bowling Green,Hardee,2513.0,2025
Wauchula,Hardee,4879.0,2025
Zolfo Springs,Hardee,1804.0,2025
Clewiston,Hendry,7341.0,2025
LaBelle,Hendry,5593.0,2025
Brooksville,Hernando,10142.0,2025
Avon Park,Highlands,9786.0,2025
Lake Placid,Highlands,2419.0,2025
Sebring,Highlands,11903.0,2025
Plant City,Hillsborough,45331.0,2025
Tampa,Hillsborough,412684.0,2025
Temple Terrace,Hillsborough,27698.0,2025
Bonifay,Holmes,2809.0,2025
Esto,Holmes,336.0,2025
Noma,Holmes,220.0,2025
Ponce de Leon,Holmes,500.0,2025
Westville,Holmes,266.0,2025
Fellsmere,Indian River,4987.0,2025
Indian River Shores,Indian River,4511.0,2025
